PlanName,PlanningDept,Site_SK,SiteName,AssetType,Class,EqmtFleet_RowID,assetSubclass,Dig Config,Grouped_Fleet,OperatingMode,Circuit_Name,splitWeekName,fromDate,toDate,yearMonthPK,metricName,metricValue
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-02///6,2027-02-08T00:00:00,2027-02-14T00:00:00,2027-02,Calendar Time,168.00000000000014
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-02///6,2027-02-08T00:00:00,2027-02-14T00:00:00,2027-02,Scheduled Loss,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-02///6,2027-02-08T00:00:00,2027-02-14T00:00:00,2027-02,Scheduled Loss Percentage,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-02///7,2027-02-15T00:00:00,2027-02-21T00:00:00,2027-02,Calendar Time,168.00000000000014
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-02///7,2027-02-15T00:00:00,2027-02-21T00:00:00,2027-02,Scheduled Loss,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-02///7,2027-02-15T00:00:00,2027-02-21T00:00:00,2027-02,Scheduled Loss Percentage,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-02///8,2027-02-22T00:00:00,2027-02-28T00:00:00,2027-02,Calendar Time,168.00000000000014
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-02///8,2027-02-22T00:00:00,2027-02-28T00:00:00,2027-02,Scheduled Loss,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-02///8,2027-02-22T00:00:00,2027-02-28T00:00:00,2027-02,Scheduled Loss Percentage,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-03///9,2027-03-01T00:00:00,2027-03-07T00:00:00,2027-03,Calendar Time,168.00000000000014
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-03///9,2027-03-01T00:00:00,2027-03-07T00:00:00,2027-03,Scheduled Loss,2.0000000000000018
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-03///9,2027-03-01T00:00:00,2027-03-07T00:00:00,2027-03,Scheduled Loss Percentage,1.1904761904761905
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-03///10,2027-03-08T00:00:00,2027-03-14T00:00:00,2027-03,Calendar Time,168.00000000000014
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-03///10,2027-03-08T00:00:00,2027-03-14T00:00:00,2027-03,Scheduled Loss,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-03///10,2027-03-08T00:00:00,2027-03-14T00:00:00,2027-03,Scheduled Loss Percentage,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-03///11,2027-03-15T00:00:00,2027-03-21T00:00:00,2027-03,Calendar Time,168.00000000000014
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-03///11,2027-03-15T00:00:00,2027-03-21T00:00:00,2027-03,Scheduled Loss,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-03///11,2027-03-15T00:00:00,2027-03-21T00:00:00,2027-03,Scheduled Loss Percentage,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-03///12,2027-03-22T00:00:00,2027-03-28T00:00:00,2027-03,Calendar Time,168.00000000000014
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-03///12,2027-03-22T00:00:00,2027-03-28T00:00:00,2027-03,Scheduled Loss,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-03///12,2027-03-22T00:00:00,2027-03-28T00:00:00,2027-03,Scheduled Loss Percentage,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-03///13A,2027-03-29T00:00:00,2027-03-31T00:00:00,2027-03,Calendar Time,72.00000000000006
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-03///13A,2027-03-29T00:00:00,2027-03-31T00:00:00,2027-03,Scheduled Loss,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-03///13A,2027-03-29T00:00:00,2027-03-31T00:00:00,2027-03,Scheduled Loss Percentage,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-04///13B,2027-04-01T00:00:00,2027-04-04T00:00:00,2027-04,Calendar Time,96.00000000000007
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-04///13B,2027-04-01T00:00:00,2027-04-04T00:00:00,2027-04,Scheduled Loss,90.00000000000007
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-04///13B,2027-04-01T00:00:00,2027-04-04T00:00:00,2027-04,Scheduled Loss Percentage,93.75
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-04///14,2027-04-05T00:00:00,2027-04-11T00:00:00,2027-04,Calendar Time,168.00000000000014
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-04///14,2027-04-05T00:00:00,2027-04-11T00:00:00,2027-04,Scheduled Loss,30.000000000000025
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-04///14,2027-04-05T00:00:00,2027-04-11T00:00:00,2027-04,Scheduled Loss Percentage,17.857142857142858
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-04///15,2027-04-12T00:00:00,2027-04-18T00:00:00,2027-04,Calendar Time,168.00000000000014
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-04///15,2027-04-12T00:00:00,2027-04-18T00:00:00,2027-04,Scheduled Loss,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-04///15,2027-04-12T00:00:00,2027-04-18T00:00:00,2027-04,Scheduled Loss Percentage,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-04///16,2027-04-19T00:00:00,2027-04-25T00:00:00,2027-04,Calendar Time,168.00000000000014
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-04///16,2027-04-19T00:00:00,2027-04-25T00:00:00,2027-04,Scheduled Loss,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-04///16,2027-04-19T00:00:00,2027-04-25T00:00:00,2027-04,Scheduled Loss Percentage,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-04///17A,2027-04-26T00:00:00,2027-04-30T00:00:00,2027-04,Calendar Time,120.0000000000001
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-04///17A,2027-04-26T00:00:00,2027-04-30T00:00:00,2027-04,Scheduled Loss,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-04///17A,2027-04-26T00:00:00,2027-04-30T00:00:00,2027-04,Scheduled Loss Percentage,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-05///17B,2027-05-01T00:00:00,2027-05-02T00:00:00,2027-05,Calendar Time,48.000000000000036
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-05///17B,2027-05-01T00:00:00,2027-05-02T00:00:00,2027-05,Scheduled Loss,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-05///17B,2027-05-01T00:00:00,2027-05-02T00:00:00,2027-05,Scheduled Loss Percentage,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-05///18,2027-05-03T00:00:00,2027-05-09T00:00:00,2027-05,Calendar Time,168.00000000000014
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-05///18,2027-05-03T00:00:00,2027-05-09T00:00:00,2027-05,Scheduled Loss,2.0000000000000018
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-05///18,2027-05-03T00:00:00,2027-05-09T00:00:00,2027-05,Scheduled Loss Percentage,1.1904761904761905
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-05///19,2027-05-10T00:00:00,2027-05-16T00:00:00,2027-05,Calendar Time,168.00000000000014
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-05///19,2027-05-10T00:00:00,2027-05-16T00:00:00,2027-05,Scheduled Loss,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-05///19,2027-05-10T00:00:00,2027-05-16T00:00:00,2027-05,Scheduled Loss Percentage,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-05///20,2027-05-17T00:00:00,2027-05-23T00:00:00,2027-05,Calendar Time,168.00000000000014
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-05///20,2027-05-17T00:00:00,2027-05-23T00:00:00,2027-05,Scheduled Loss,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-05///20,2027-05-17T00:00:00,2027-05-23T00:00:00,2027-05,Scheduled Loss Percentage,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-05///21,2027-05-24T00:00:00,2027-05-30T00:00:00,2027-05,Calendar Time,168.00000000000014
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-05///21,2027-05-24T00:00:00,2027-05-30T00:00:00,2027-05,Scheduled Loss,0
2026-10-01 Oct QF Revision 0,Brockman 4,205,Brockman 4,Plant,Primary Crusher,,Feed,,,,B4 PC1,2027-05///21,2027-05-24T00:00:00,2027-05-30T00:00:00,2027-05,Scheduled Loss Percentage,0
